Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,3784.0,8.0,1063.0,9099.0,0.1,71238.85,0.0,0.0,1713.528424024582,,,,,,,,,,,,,,,,,,,,,24973.076527875524,12498.503790402738,44781.98884657263,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,4073.0,9.0,289.0,9388.0,0.1,17619.205800000007,0.0,0.0,1741.9432635307312,,,,,,,,,,,,,,,,,,,,,7371.048338835666,4659.011934058194,15519.997304688568,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,4336.0,10.0,263.0,9651.0,0.1,16202.057200000016,0.0,0.0,1768.064860343933,,,,,,,,,,,,,,,,,,,,,6382.427170171523,4332.320584059558,14552.56944055657,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,4891.0,11.0,555.0,10206.0,0.1,30716.060400000017,0.0,0.0,1823.198383808136,,,,,,,,,,,,,,,,,,,,,13621.731625659006,6400.613722814911,23202.38090719274,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,5038.0,12.0,147.0,10353.0,0.1,7343.162999999997,0.0,0.0,1838.0535929203033,,,,,,,,,,,,,,,,,,,,,3098.10312296212,1871.3350078724052,6901.538015417387,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,5564.0,13.0,526.0,10879.0,0.1,26828.724000000082,0.0,0.0,1890.016182422638,,,,,,,,,,,,,,,,,,,,,10980.204387286403,6250.742773593891,21095.30600899935,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,5669.0,14.0,105.0,10984.0,0.1,5500.603999999997,0.0,0.0,1900.592155456543,,,,,,,,,,,,,,,,,,,,,2061.5423957337994,1582.588773325766,5294.726206134018,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,6228.0,15.0,559.0,11543.0,0.1,36445.603399999985,0.0,0.0,1955.3027696609497,,,,,,,,,,,,,,,,,,,,,14665.947578099034,8489.834021820307,28303.918236397196,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,6548.0,16.0,320.0,11863.0,0.1,18954.15320000001,0.0,0.0,1987.0772874355316,,,,,,,,,,,,,,,,,,,,,8013.003429114067,4679.725275307092,16422.8213225072,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,6943.0,17.0,395.0,12258.0,0.1,24452.802100000026,0.0,0.0,2026.2234587669373,,,,,,,,,,,,,,,,,,,,,9782.72919135052,5945.836876579018,20629.863165885152,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
